Data,NAV
06/12/2024,52.8862 
05/12/2024,52.7435 
04/12/2024,52.9790 
03/12/2024,52.7692 
02/12/2024,52.8324 
29/11/2024,52.2662 
28/11/2024,52.0186 
27/11/2024,51.9110 
26/11/2024,52.3804 
25/11/2024,52.2336 
22/11/2024,52.4071 
21/11/2024,51.7311 
20/11/2024,51.3940 
19/11/2024,51.1574 
18/11/2024,51.0320 
15/11/2024,51.0061 
14/11/2024,51.3762 
13/11/2024,51.5058 
12/11/2024,51.4907 
11/11/2024,51.6023 
08/11/2024,51.0629 
07/11/2024,50.7074 
06/11/2024,50.5754 
05/11/2024,49.0321 
04/11/2024,48.5563 
01/11/2024,48.8312 
31/10/2024,48.6250 
30/10/2024,49.4054 
29/10/2024,49.8551 
28/10/2024,49.7212 
25/10/2024,49.5179 
24/10/2024,49.6920 
23/10/2024,49.6656 
22/10/2024,49.9566 
21/10/2024,49.9610 
18/10/2024,50.0271 
17/10/2024,49.9590 
16/10/2024,49.6879 
15/10/2024,49.4883 
14/10/2024,49.7641 
11/10/2024,49.3476 
10/10/2024,49.1615 
09/10/2024,49.1161 
08/10/2024,48.7265 
07/10/2024,48.4982 
04/10/2024,48.7848 
03/10/2024,48.2725 
02/10/2024,48.3256 
01/10/2024,48.2462 
30/09/2024,48.2597 
27/09/2024,48.2321 
26/09/2024,48.1751 
25/09/2024,47.8340 
24/09/2024,48.0063 
23/09/2024,47.9058 
20/09/2024,47.7093 
19/09/2024,47.9343 
18/09/2024,47.2015 
17/09/2024,47.3142 
16/09/2024,47.3182 
13/09/2024,47.3868 
12/09/2024,47.2833 
11/09/2024,46.9795 
10/09/2024,46.5960 
09/09/2024,46.4163 
06/09/2024,45.7287 
05/09/2024,46.5347 
04/09/2024,46.6419 
03/09/2024,47.0507 
02/09/2024,47.7673 
30/08/2024,47.7922 
29/08/2024,47.4029 
28/08/2024,47.1345 
27/08/2024,47.1882 
26/08/2024,47.0752 
23/08/2024,47.1644 
22/08/2024,46.8922 
21/08/2024,47.1433 
20/08/2024,47.0045 
19/08/2024,47.2355 
16/08/2024,47.1021 
15/08/2024,46.9169 
14/08/2024,46.0864 
13/08/2024,46.1476 
12/08/2024,45.5165 
09/08/2024,45.5667 
08/08/2024,45.3873 
07/08/2024,44.5245 
06/08/2024,44.6312 
05/08/2024,43.9434 
02/08/2024,45.5737 
01/08/2024,47.0474 
31/07/2024,47.6345 
30/07/2024,46.9392 
29/07/2024,47.0532 
26/07/2024,46.8474 
25/07/2024,46.4061 
