Data,NAV_1,NAV_2,N_SHARES_1,N_SHARES_2,AVERAGE_PRICE_1,AVERAGE_PRICE_2,TOTAL_PORTFOLIO,TAX_PAID
2018-01-02,109.9579,22.8231,27.283169285699348,87.63051469782808,109.9579,22.8231,5000.0,0.0
2018-01-03,109.9075,22.9828,27.283169285699348,87.63051469782808,109.9579,22.8231,5012.619521465244,0.0
2018-01-04,110.0603,23.0699,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5024.42100756228,0.35780755835862
2018-01-05,109.8534,23.2937,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5056.555445542339,0.0
2018-01-08,110.073,23.4248,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5079.468185789779,0.0
2018-01-09,109.799,23.5469,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5094.150821275323,0.0
2018-01-10,109.7465,23.4652,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5081.045359690772,0.0
2018-01-11,109.701,23.4431,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5077.064886952843,0.0
2018-01-12,109.7124,23.395,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5069.937779502071,0.0
2018-01-15,109.5566,23.234,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5043.3836635048465,0.0
2018-01-16,109.6526,23.2535,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5047.672861543946,0.0
2018-01-17,109.7547,23.3528,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5064.13421978561,0.0
2018-01-18,109.4082,23.3259,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5055.2392329094555,0.0
2018-01-19,109.5061,23.468,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5078.125073250611,0.0
2018-01-22,109.5225,23.5756,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5094.651388468817,0.0
2018-01-23,109.6444,23.5779,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5096.6956204203725,0.0
2018-01-24,109.5167,23.4474,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5075.152258613944,0.0
2018-01-25,109.5679,23.2424,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5044.813214267453,0.0
2018-01-26,109.451,23.5101,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5083.735414647212,0.0
2018-01-29,109.2819,23.5156,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5082.216009893395,0.0
2018-01-30,109.1854,23.1885,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5031.327714454481,0.0
2018-01-31,109.2351,23.0946,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5017.796108353783,0.0
2018-02-01,108.8628,23.0807,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,5010.511305164043,0.0
2018-02-02,108.8214,22.7139,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4954.3761960904685,0.0
2018-02-05,109.0446,22.0315,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4854.118254592225,0.0
2018-02-06,108.8098,22.1044,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4861.893914405471,0.0
2018-02-07,108.6596,22.2323,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4879.177358958414,0.0
2018-02-08,108.7127,21.7049,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4800.030851054487,0.0
2018-02-09,108.4643,21.7718,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4806.708490674997,0.0
2018-02-12,108.6288,21.988,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4841.744778053774,0.0
2018-02-13,108.61,21.897,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4827.699474814646,0.0
2018-02-14,108.2239,22.0754,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4849.350350397836,0.0
2018-02-15,108.4024,22.2285,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4875.023652552585,0.0
2018-02-16,108.6174,22.3577,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4897.58460560435,0.0
2018-02-19,108.3402,22.4191,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4903.028500278413,0.0
2018-02-20,108.4997,22.4156,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4904.717291336511,0.0
2018-02-21,108.3931,22.3719,13.91182263903134,151.4699008078482,109.9583084100059,22.927960263262484,4896.615056377887,0.0
